Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
CSMD2,4,1,0,0,71,3,0,2,0,81,68,68
ANK2,1,0,1,0,68,3,0,1,0,74,67,67
ZNF536,2,1,0,0,66,4,0,0,0,73,67,67
SPHKAP,2,0,0,0,69,6,0,0,0,77,66,66
BRINP3,2,1,0,0,62,4,0,1,0,70,66,66
ABCA13,0,4,0,0,68,4,0,3,0,79,65,65
NEB,4,1,0,0,59,3,0,5,0,72,65,65
SSPO,3,0,0,0,67,4,0,1,0,75,64,64
DNAH11,2,0,0,0,65,3,0,1,0,71,64,64
LRRC7,1,1,0,0,64,3,0,4,0,73,63,63
FAT4,0,1,1,0,64,4,0,1,0,71,63,63
LRRK2,1,2,0,0,56,4,0,4,0,67,63,63
LAMA2,5,0,0,0,54,5,0,5,0,69,62,62
SCN1A,0,0,1,0,64,4,0,3,0,72,60,60
FMN2,1,0,0,0,62,2,0,2,0,67,60,60
SCN2A,3,3,0,0,58,2,0,1,0,67,60,60
PLXNA4,3,1,0,0,56,4,0,2,0,66,60,60
MROH2B,2,4,0,0,55,9,0,1,0,71,59,59
DMD,1,2,0,0,60,4,0,3,0,70,59,59
TENM1,2,1,0,0,58,4,0,2,0,67,59,59
TPTE,3,0,0,0,56,4,0,4,0,67,59,59
MYH2,1,1,0,0,57,3,0,3,0,65,59,59
CPS1,0,0,0,0,60,1,0,3,0,64,59,59
CTNNA2,1,1,0,1,55,2,0,5,0,65,58,58
MYH1,2,0,0,0,60,3,0,0,0,65,58,58
THSD7B,1,1,0,0,59,7,0,0,0,68,57,57
ANKRD30A,2,0,0,0,55,5,0,3,0,65,57,57
AHNAK,5,1,2,0,52,4,0,0,0,64,57,57
FCGBP,1,0,1,0,60,2,0,0,0,64,57,57
HMCN1,5,0,0,0,63,3,0,3,0,74,56,56
AHNAK2,4,1,0,0,62,5,0,0,0,72,56,56
PEG3,2,0,0,0,56,8,0,0,0,66,56,56
CNTNAP2,2,0,0,0,60,2,0,1,0,65,56,56
HERC2,2,0,0,1,51,5,0,2,0,61,56,56
TNN,1,1,0,0,54,1,0,3,0,60,56,56
SORCS1,1,0,1,0,48,7,0,2,0,59,56,56
PIK3CA,0,1,0,0,55,1,0,0,0,57,56,56
MUC5B,1,0,0,0,60,7,0,0,0,68,55,55
TMEM132D,1,0,0,0,58,3,0,0,0,62,55,55
UNC13C,1,0,0,0,47,8,0,2,0,58,55,55
CDH18,1,1,0,0,53,4,0,1,0,60,54,54
KMT2C,3,1,0,0,41,13,0,1,0,59,54,54
CDH9,0,1,0,0,51,4,0,1,0,57,53,53
NF1,6,2,1,0,30,15,0,3,0,57,53,53
COL12A1,1,1,0,0,43,3,0,7,0,55,53,53
OBSCN,1,1,0,0,48,6,0,2,0,58,52,52
RP1,1,1,0,0,51,4,0,0,0,57,52,52
PTEN,10,6,1,0,21,12,0,3,0,53,52,52
THSD7A,1,2,0,0,56,4,0,0,0,63,51,51
ADAMTS20,0,0,0,1,52,3,0,1,0,57,51,51
KEAP1,2,1,2,0,49,1,0,0,0,55,51,51
COL6A3,4,1,0,0,47,4,0,2,0,58,50,50
NRXN1,0,2,0,0,52,3,1,0,0,58,50,50
CRB1,1,0,0,0,52,2,0,1,0,56,50,50
MRC1,0,0,0,0,52,4,0,0,0,56,50,50
DYSF,1,0,0,0,47,6,0,1,0,55,50,50
ATP10A,1,0,0,0,47,5,0,1,0,54,50,50
SLITRK3,1,1,0,0,52,0,0,0,0,54,50,50
PXDNL,0,1,0,0,49,3,0,0,0,53,50,50
PLCH1,3,1,0,0,49,4,0,0,0,57,49,49
LCT,3,0,0,0,48,2,0,2,0,55,49,49
BIRC6,2,1,0,0,49,2,0,0,0,54,49,49
HYDIN,0,1,0,0,48,3,0,1,0,53,49,49
KIAA1109,1,0,0,0,45,5,0,2,0,53,49,49
CACNA1E,1,0,0,0,44,3,0,2,0,50,49,49
PRDM9,3,1,0,0,42,7,0,3,0,56,48,48
PCDH10,0,0,0,0,48,4,0,0,0,52,48,48
MYH4,1,0,0,0,47,2,0,1,0,51,48,48
SYNE2,0,1,0,0,48,9,0,1,0,59,47,47
CNTNAP4,0,0,0,0,47,8,0,0,0,55,47,47
VPS13B,2,0,0,1,50,1,0,1,0,55,47,47
CDH12,1,1,0,0,41,5,0,3,0,51,47,47
MACF1,1,0,0,0,46,2,0,1,0,50,47,47
ALMS1,3,1,0,0,44,6,0,0,0,54,46,46
DCC,1,0,0,0,44,5,0,2,0,52,46,46
FAM47C,0,0,0,0,48,4,0,0,0,52,46,46
GRM8,2,0,0,0,46,1,0,0,0,49,46,46
TAF1L,2,0,0,0,44,3,0,0,0,49,46,46
MMP16,2,0,0,0,39,5,1,1,0,48,46,46
KCNH7,1,0,0,0,40,5,0,1,0,47,46,46
MYH8,1,0,0,0,44,5,0,2,0,52,45,45
EPHA5,1,2,0,0,43,2,0,3,0,51,45,45
MYH15,2,0,0,0,44,3,0,1,0,50,45,45
ADGRG4,2,0,0,0,41,5,0,1,0,49,45,45
C6,0,0,0,0,44,5,0,0,0,49,45,45
FBN2,0,1,0,0,45,2,0,1,0,49,45,45
GRIN2A,0,0,0,0,47,2,0,0,0,49,45,45
ZDBF2,2,2,0,1,40,4,0,0,0,49,45,45
DCDC1,3,0,0,0,43,1,0,1,0,48,45,45
EPB41L3,1,2,0,0,37,4,0,3,0,47,45,45
PLEC,2,1,1,1,47,2,0,0,0,54,44,44
LRFN5,1,0,0,0,47,3,0,0,0,51,44,44
DCHS2,0,0,0,0,45,5,0,0,0,50,44,44
RIMS1,2,0,0,0,42,4,0,1,0,49,44,44
FSCB,1,0,0,0,42,5,0,0,0,48,44,44
SACS,2,1,0,0,41,4,0,0,0,48,44,44
ASTN1,3,0,0,0,34,8,0,2,0,47,44,44
ADAMTS16,1,0,0,0,37,8,0,0,0,46,44,44
MYT1L,2,0,0,0,40,4,0,0,0,46,44,44
TENM3,0,0,0,0,44,1,0,1,0,46,44,44
ASPM,2,2,0,0,46,2,0,0,0,52,43,43
TRHDE,2,0,0,0,45,2,0,1,0,50,43,43
PTPRB,3,0,0,0,43,2,0,1,0,49,43,43
STAB2,1,0,0,0,43,2,0,1,0,47,43,43
DNAH3,0,0,0,0,43,3,0,0,0,46,43,43
MYO16,2,1,0,0,41,1,0,1,0,46,43,43
OTOGL,1,0,0,0,41,4,0,0,0,46,43,43
NLRP12,1,0,0,0,40,6,0,0,0,47,42,42
UNC5D,1,0,0,0,40,4,0,2,0,47,42,42
ADGRL3,2,0,1,0,36,2,0,5,0,46,42,42
CTNND2,1,0,0,0,43,2,0,0,0,46,42,42
FLNC,2,0,0,0,38,5,0,1,0,46,42,42
GPR158,3,0,0,0,37,5,1,0,0,46,42,42
NCAM2,1,1,0,0,39,4,0,1,0,46,42,42
UNC79,0,0,0,0,41,4,0,1,0,46,42,42
KALRN,3,0,0,0,40,2,0,0,0,45,42,42
ZNF479,1,0,0,0,36,8,0,0,0,45,42,42
COL6A6,0,0,0,0,43,1,0,0,0,44,42,42
GRIN2B,0,0,0,0,40,4,0,0,0,44,42,42
MYH7,1,0,0,0,33,7,0,2,0,43,42,42
PREX2,0,0,0,0,38,3,0,2,0,43,42,42
BRWD3,0,1,0,0,34,5,0,2,0,42,42,42
SPAG17,0,3,0,0,39,4,0,3,0,49,41,41
ZNF831,3,0,0,0,40,2,0,3,0,48,41,41
RP1L1,4,0,0,1,40,2,0,0,0,47,41,41
KLHL1,2,0,0,0,39,5,0,0,0,46,41,41
NLRP13,1,0,0,0,38,5,0,1,0,45,41,41
DCAF4L2,3,0,0,0,39,2,0,0,0,44,41,41
ERBB4,0,0,0,0,39,3,0,2,0,44,41,41
ZBBX,1,0,0,0,35,6,0,2,0,44,41,41
GRID2,0,0,0,0,42,1,0,0,0,43,41,41
ANKS1B,0,1,0,0,38,1,0,2,0,42,41,41
VCAN,0,0,0,0,47,3,0,0,0,50,40,40
CMYA5,1,2,1,1,37,5,0,0,0,47,40,40
MDN1,2,0,1,0,38,3,0,2,0,46,40,40
NRXN3,1,0,0,0,37,6,0,1,0,45,40,40
UTRN,2,2,0,1,33,6,0,1,0,45,40,40
MDGA2,2,0,0,0,35,7,0,0,0,44,40,40
PDZD2,1,0,0,0,41,2,0,0,0,44,40,40
ACACB,5,1,0,0,32,2,0,3,0,43,40,40
MAGEC1,2,1,0,0,38,1,0,0,0,42,40,40
CNTN5,1,0,0,0,37,2,0,1,0,41,40,40
WDR17,1,0,0,0,41,2,0,1,0,45,39,39
ZNF208,1,2,0,0,37,5,0,0,0,45,39,39
DNAH10,1,0,0,0,37,6,0,0,0,44,39,39
PIK3CG,1,0,0,0,38,3,0,1,0,43,39,39
TG,0,1,0,0,40,1,0,1,0,43,39,39
HUWE1,1,1,0,0,35,4,0,1,0,42,39,39
MYO18B,0,0,0,0,38,3,0,1,0,42,39,39
ZNF423,1,0,1,0,39,1,0,0,0,42,39,39
FSHR,0,1,0,0,36,2,0,1,0,40,39,39
ZAN,1,1,0,0,37,1,0,0,0,40,39,39
CACNA1C,2,0,0,0,36,5,0,1,0,44,38,38
GRM1,2,1,0,0,36,4,0,0,0,43,38,38
LAMA1,1,0,0,0,41,0,0,1,0,43,38,38
NALCN,2,1,0,0,35,2,0,3,0,43,38,38
COL19A1,0,0,0,0,35,4,0,3,0,42,38,38
DPP10,1,0,0,0,35,4,0,2,0,42,38,38
DSCAM,0,1,0,0,39,2,0,0,0,42,38,38
DST,2,0,0,0,32,6,0,2,0,42,38,38
MYH13,1,0,0,0,37,3,0,1,0,42,38,38
SPEF2,1,1,0,0,33,2,0,4,0,41,38,38
CDH8,1,0,0,0,35,2,0,2,0,40,38,38
KLHL4,1,0,0,0,36,1,0,2,0,40,38,38
ROS1,2,0,0,0,36,1,0,1,0,40,38,38
TLN2,3,0,0,0,36,1,0,0,0,40,38,38
TRIM51,4,0,0,0,32,3,0,1,0,40,38,38
USP34,4,0,0,0,32,2,0,2,0,40,38,38
SALL1,4,0,1,0,38,3,0,0,0,46,37,37
ADCY8,0,1,0,0,37,3,0,1,0,42,37,37
KIF2B,1,1,0,0,40,0,0,0,0,42,37,37
PPP1R3A,2,1,0,0,34,5,0,0,0,42,37,37
SCN10A,1,0,0,0,34,5,0,2,0,42,37,37
TRPA1,0,0,0,0,38,3,0,1,0,42,37,37
DOCK2,0,0,0,0,39,0,0,2,0,41,37,37
GOLGB1,1,0,0,0,35,5,0,0,0,41,37,37
MGAM,3,0,0,0,33,4,0,1,0,41,37,37
CTNNA3,1,0,0,0,35,2,0,2,0,40,37,37
LRRC4C,1,1,0,0,36,2,0,0,0,40,37,37
NPAP1,2,0,0,0,38,0,0,0,0,40,37,37
PPFIA2,1,0,0,0,31,4,0,4,0,40,37,37
SLC8A1,0,0,0,0,36,4,0,0,0,40,37,37
SLIT2,4,0,0,0,26,5,0,5,0,40,37,37
COL24A1,1,0,0,0,34,2,0,2,0,39,37,37
MYCBP2,3,0,0,1,29,3,0,3,0,39,37,37
NLRP3,0,0,0,0,35,4,0,0,0,39,37,37
TRPS1,1,0,1,0,34,3,0,0,0,39,37,37
CHD7,2,1,0,0,33,2,0,0,0,38,37,37
WBSCR17,1,1,0,0,34,1,0,1,0,38,37,37
ZNF99,4,0,0,0,29,4,0,0,0,37,37,37
ABCB1,2,0,0,0,34,3,0,2,0,41,36,36
CFAP47,1,0,1,0,39,0,0,0,0,41,36,36
DGKI,0,0,0,0,38,2,0,1,0,41,36,36
SPATA31D1,1,0,0,0,34,5,0,1,0,41,36,36
ZFHX3,1,0,0,0,36,4,0,0,0,41,36,36
DLC1,2,0,0,0,38,0,0,0,0,40,36,36
DOCK10,1,2,0,0,34,1,0,2,0,40,36,36
RNF213,1,0,1,0,35,2,0,1,0,40,36,36
POLQ,3,1,0,0,32,3,0,0,0,39,36,36
NLRP5,3,0,0,0,33,2,0,0,0,38,36,36
RUNX1T1,1,1,0,0,34,1,1,0,0,38,36,36
TMPRSS15,0,0,0,0,37,1,0,0,0,38,36,36
VPS13C,2,0,0,0,31,2,0,3,0,38,36,36
EPHA6,0,0,0,0,36,1,0,0,0,37,36,36
F5,1,0,2,0,31,3,0,0,0,37,36,36
FLG2,0,0,0,0,35,2,0,0,0,37,36,36
NLRP14,2,0,0,0,29,5,0,1,0,37,36,36
NRAP,1,0,0,0,29,5,0,2,0,37,36,36
ZEB2,1,0,0,0,35,1,0,0,0,37,36,36
COL1A2,1,0,1,0,37,1,0,1,0,41,35,35
FRY,1,0,0,0,33,3,0,2,0,39,35,35
RIMS2,0,0,1,0,34,3,0,1,0,39,35,35
SORCS3,0,0,0,0,37,1,0,1,0,39,35,35
SPATA31E1,0,0,0,0,37,2,0,0,0,39,35,35
ZNF521,1,0,1,0,36,1,0,0,0,39,35,35
EPHA3,1,0,0,0,29,7,0,1,0,38,35,35
NOTCH1,4,2,0,0,19,10,0,3,0,38,35,35
AKAP9,2,1,1,0,29,4,0,0,0,37,35,35
FER1L6,2,0,0,0,30,3,0,2,0,37,35,35
OTOF,1,0,0,0,30,5,0,1,0,37,35,35
PTPRC,3,1,0,0,32,1,0,0,0,37,35,35
TPR,0,0,0,0,30,5,0,2,0,37,35,35
WDFY3,0,2,0,0,27,5,0,3,0,37,35,35
CNGB3,1,0,0,0,32,3,0,0,0,36,35,35
FBN3,1,0,0,0,34,0,0,0,0,35,35,35
GALNT13,1,0,0,0,30,2,0,2,0,35,35,35
LRRTM4,1,0,1,0,30,3,0,0,0,35,35,35
NLRP8,1,1,0,0,27,3,0,3,0,35,35,35
TNXB,1,0,0,1,38,3,0,0,0,43,34,34
RTTN,1,2,1,0,32,2,0,1,0,39,34,34
CFAP61,1,1,0,0,32,3,0,1,0,38,34,34
NLRP4,1,0,0,0,33,4,0,0,0,38,34,34
ABCA9,0,1,0,0,30,4,0,2,0,37,34,34
DUSP27,0,0,0,0,35,2,0,0,0,37,34,34
MORC1,0,0,0,0,29,5,0,3,0,37,34,34
MYH6,0,1,0,0,34,2,0,0,0,37,34,34
ZIC1,1,0,0,0,31,5,0,0,0,37,34,34
ASXL3,2,0,0,0,33,1,0,0,0,36,34,34
CACNA1A,1,0,0,1,31,2,0,1,0,36,34,34
EYS,2,0,0,0,29,4,0,1,0,36,34,34
KIAA2022,0,0,0,0,33,2,0,1,0,36,34,34
PRUNE2,0,0,0,0,31,4,0,1,0,36,34,34
ALPK2,1,0,0,0,31,3,0,0,0,35,34,34
FRAS1,2,0,0,0,27,3,0,3,0,35,34,34
GRM5,2,0,0,0,29,4,0,0,0,35,34,34
HEPH,0,0,0,0,35,0,0,0,0,35,34,34
TENM4,0,0,0,0,32,1,0,2,0,35,34,34
OR4C12,1,1,0,0,27,4,0,0,1,34,34,34
ZNF716,0,0,0,0,28,6,0,0,0,34,34,34
TRIM58,1,0,0,0,32,3,0,2,0,38,33,33
FBN1,0,0,0,0,33,0,0,4,0,37,33,33
LRRIQ1,3,0,0,0,29,2,0,3,0,37,33,33
MXRA5,2,0,0,0,33,2,0,0,0,37,33,33
ADAMTSL3,0,0,0,0,30,6,0,0,0,36,33,33
HRNR,3,0,0,0,32,1,0,0,0,36,33,33
KDR,1,0,0,0,32,3,0,0,0,36,33,33
LRP1,0,0,0,0,35,0,0,1,0,36,33,33
POTEE,2,0,0,0,30,4,0,0,0,36,33,33
SCN7A,1,1,0,0,32,2,0,0,0,36,33,33
TKTL2,0,1,0,0,34,0,0,0,1,36,33,33
TLR4,2,0,0,0,29,4,0,1,0,36,33,33
CREBBP,3,0,0,0,27,2,0,3,0,35,33,33
FN1,0,0,0,0,32,3,0,0,0,35,33,33
HGF,1,1,0,0,30,3,0,0,0,35,33,33
MYO3A,0,1,0,0,32,2,0,0,0,35,33,33
NBAS,4,0,0,0,29,2,0,0,0,35,33,33
NDST4,0,1,0,0,31,2,0,1,0,35,33,33
PTPRT,2,0,0,0,29,3,0,1,0,35,33,33
TECTA,0,1,0,0,34,0,0,0,0,35,33,33
ADAMTS18,1,0,0,0,31,2,0,0,0,34,33,33
KCNA4,2,0,0,0,30,2,0,0,0,34,33,33
RB1,5,2,0,0,7,12,0,8,0,34,33,33
CCDC129,2,1,0,0,28,2,0,0,0,33,33,33
DYNC1H1,0,1,0,0,25,7,0,0,0,33,33,33
SLCO1B1,2,0,0,0,25,4,0,1,1,33,33,33
COL3A1,0,0,0,0,37,1,0,4,0,42,32,32
HECW1,1,1,0,0,30,6,0,0,0,38,32,32
LAMA4,1,1,0,0,31,3,0,1,0,37,32,32
SVEP1,1,0,0,0,32,4,0,0,0,37,32,32
PTPRD,0,0,0,0,32,2,0,2,0,36,32,32
MYO7B,3,0,0,0,24,5,0,2,0,34,32,32
ABCB5,1,0,0,0,28,3,0,1,0,33,32,32
CCDC39,2,0,0,0,28,2,0,1,0,33,32,32
MAGEL2,2,0,0,0,29,2,0,0,0,33,32,32
NRK,2,0,0,0,29,2,0,0,0,33,32,32
ROBO4,1,0,0,0,32,0,0,0,0,33,32,32
SLC39A12,0,0,0,0,29,2,0,2,0,33,32,32
VPS13D,2,0,0,0,28,0,1,2,0,33,32,32
NOS1,5,0,0,0,26,0,0,1,0,32,32,32
PTPRO,2,1,0,0,27,2,0,0,0,32,32,32
ACAN,1,0,0,0,33,1,0,0,0,35,31,31
MKI67,0,1,0,0,32,1,0,1,0,35,31,31
AKAP13,0,0,0,0,34,0,0,0,0,34,31,31
COL4A4,0,1,0,0,29,1,0,3,0,34,31,31
DPP6,0,0,0,0,30,1,0,3,0,34,31,31
LYST,3,0,0,0,26,4,0,1,0,34,31,31
PDE3A,3,0,0,0,23,2,1,5,0,34,31,31
ASCC3,1,1,0,0,27,1,0,3,0,33,31,31
BRINP1,2,0,0,0,28,3,0,0,0,33,31,31
HERC1,0,1,0,0,30,2,0,0,0,33,31,31
PCDHB7,0,0,0,0,32,1,0,0,0,33,31,31
POM121L12,1,1,0,0,29,2,0,0,0,33,31,31
ATRNL1,0,0,0,0,25,7,0,0,0,32,31,31
BRINP2,0,0,0,0,31,0,0,0,1,32,31,31
FSTL5,0,0,0,0,27,5,0,0,0,32,31,31
OR5D18,0,0,0,0,30,2,0,0,0,32,31,31
OR6F1,0,1,0,0,28,3,0,0,0,32,31,31
SCN5A,1,0,0,0,30,0,0,0,0,31,31,31
FSIP2,0,1,0,0,34,2,0,0,0,37,30,30
NLGN1,0,0,0,0,35,0,0,1,0,36,30,30
COL4A2,3,0,0,0,27,1,0,3,0,34,30,30
DMBT1,1,0,0,0,32,1,0,0,0,34,30,30
NCKAP5,0,0,0,0,30,4,0,0,0,34,30,30
SLCO1C1,0,0,0,0,29,3,0,2,0,34,30,30
F13B,1,0,0,0,31,1,0,0,0,33,30,30
SHANK1,1,2,0,0,28,1,0,1,0,33,30,30
THBS2,1,0,0,0,30,2,0,0,0,33,30,30
EPHB1,2,0,0,0,27,2,0,1,0,32,30,30
FREM2,0,0,0,0,32,0,0,0,0,32,30,30
IGF2R,1,1,0,0,25,5,0,0,0,32,30,30
RASA1,6,0,2,1,10,10,0,3,0,32,30,30
ZFPM2,1,0,0,0,27,4,0,0,0,32,30,30
ZNF98,2,0,0,0,28,2,0,0,0,32,30,30
BRCA2,1,1,0,0,27,1,0,1,0,31,30,30
CCT8L2,2,0,0,0,26,2,1,0,0,31,30,30
GPC5,2,0,0,0,27,2,0,0,0,31,30,30
GRID1,0,0,0,0,29,2,0,0,0,31,30,30
MAP2,0,0,0,0,29,2,0,0,0,31,30,30
OR2T4,1,0,0,0,27,3,0,0,0,31,30,30
OR4C15,0,0,0,0,31,0,0,0,0,31,30,30
OR4M1,1,0,0,0,27,3,0,0,0,31,30,30
PCDH17,1,0,0,0,28,2,0,0,0,31,30,30
SALL3,2,0,0,0,28,1,0,0,0,31,30,30
TDRD5,1,0,0,0,27,3,0,0,0,31,30,30
TMEM132B,0,1,0,0,28,1,0,1,0,31,30,30
ABCC12,0,0,0,0,27,3,0,0,0,30,30,30
AMER3,1,1,0,0,26,2,0,0,0,30,30,30
ANK3,1,0,0,0,27,2,0,0,0,30,30,30
BCHE,2,1,0,0,26,0,0,1,0,30,30,30
ITGA8,0,0,0,0,24,3,0,3,0,30,30,30
KCNJ3,1,0,0,0,27,2,0,0,0,30,30,30
OR2L13,0,0,0,0,28,1,0,0,1,30,30,30
PRKDC,1,0,0,0,25,3,0,1,0,30,30,30
UTP20,3,1,0,0,25,0,0,1,0,30,30,30
ZEB1,0,0,0,0,26,4,0,0,0,30,30,30
MUC4,2,0,0,0,33,1,0,1,0,37,29,29
OR4A15,2,1,0,0,30,1,0,0,0,34,29,29
PTPRZ1,1,2,0,0,26,2,0,3,0,34,29,29
C2orf16,1,0,0,0,29,3,0,0,0,33,29,29
DCHS1,1,0,0,0,29,3,0,0,0,33,29,29
ANO4,1,0,0,0,29,2,0,0,0,32,29,29
ARID1A,8,4,0,0,12,6,0,2,0,32,29,29
CCDC141,1,1,1,0,26,3,0,0,0,32,29,29
DSCAML1,1,0,0,0,28,2,0,1,0,32,29,29
SCN11A,3,0,0,0,28,1,0,0,0,32,29,29
ASTN2,1,0,0,0,30,0,0,0,0,31,29,29
FAM47A,2,0,0,0,27,2,0,0,0,31,29,29
FCRL5,0,0,0,0,28,1,0,2,0,31,29,29
GABRG1,1,0,0,0,29,1,0,0,0,31,29,29
SCN4A,1,0,0,0,29,0,0,0,1,31,29,29
TRRAP,1,0,0,0,26,1,0,3,0,31,29,29
ABCC9,0,0,1,0,25,1,0,3,0,30,29,29
AKAP6,1,1,0,0,23,3,0,2,0,30,29,29
CFH,0,0,0,0,24,6,0,0,0,30,29,29
CNTN6,1,0,0,0,27,1,0,1,0,30,29,29
DZIP3,2,0,0,0,25,2,0,1,0,30,29,29
GABRA2,1,0,0,0,27,1,0,1,0,30,29,29
GRIN3A,2,0,0,0,27,1,0,0,0,30,29,29
LPA,0,0,0,0,28,1,0,1,0,30,29,29
RANBP2,0,1,0,0,26,2,0,1,0,30,29,29
COLEC12,2,1,0,0,24,2,0,0,0,29,29,29
DOCK4,0,0,0,0,23,3,0,3,0,29,29,29
LEPR,0,0,0,0,25,4,0,0,0,29,29,29
OR8J3,1,1,0,0,26,1,0,0,0,29,29,29
SLITRK2,2,1,0,0,33,2,0,0,0,38,28,28
SLC17A8,1,0,0,0,29,4,0,1,0,35,28,28
ADCY2,2,1,0,0,28,1,0,0,0,32,28,28
SLIT3,1,0,0,0,27,2,0,2,0,32,28,28
ZNF91,1,0,0,0,27,3,0,0,1,32,28,28
ANO5,1,0,0,0,28,2,0,0,0,31,28,28
CD163L1,0,1,0,0,26,4,0,0,0,31,28,28
ICE1,3,0,0,0,24,4,0,0,0,31,28,28
NUP210L,0,1,0,0,25,4,0,1,0,31,28,28
RGS7,1,0,0,0,26,1,0,3,0,31,28,28
TSHZ3,0,0,0,0,30,1,0,0,0,31,28,28
ARHGAP35,5,0,0,0,19,6,0,0,0,30,28,28
HDAC9,1,0,0,0,26,1,0,2,0,30,28,28
KIAA1211,2,0,0,0,26,2,0,0,0,30,28,28
LRRTM1,4,1,0,0,23,2,0,0,0,30,28,28
NBEA,1,0,0,0,25,2,0,2,0,30,28,28
OR2M3,0,1,0,0,26,3,0,0,0,30,28,28
OR2T3,0,2,0,0,25,3,0,0,0,30,28,28
OR4C6,0,0,0,0,28,2,0,0,0,30,28,28
CDH23,1,0,0,0,28,0,0,0,0,29,28,28
CENPE,0,0,0,0,24,3,0,2,0,29,28,28
COL9A1,2,0,0,0,25,1,0,1,0,29,28,28
GRM3,0,0,0,0,27,2,0,0,0,29,28,28
HECW2,0,0,0,0,25,2,0,2,0,29,28,28
IGHV1OR21-1,0,0,0,0,25,4,0,0,0,29,28,28
MS4A14,2,0,0,0,25,2,0,0,0,29,28,28
NELL1,1,0,0,0,20,3,0,5,0,29,28,28
NRG3,0,0,0,0,27,1,0,1,0,29,28,28
OR5L1,2,0,0,0,27,0,0,0,0,29,28,28
PDE4DIP,1,0,0,0,26,2,0,0,0,29,28,28
SLC17A6,0,0,0,0,24,4,0,1,0,29,28,28
USP29,0,0,0,0,27,2,0,0,0,29,28,28
VWF,0,0,0,0,25,2,0,2,0,29,28,28
CD163,0,0,0,0,21,6,0,1,0,28,28,28
DPPA4,1,0,0,0,22,4,0,1,0,28,28,28
TRPC5,2,0,0,0,24,2,0,0,0,28,28,28
CNTN3,2,1,0,0,25,2,0,1,0,31,27,27
